"","pol_knowledge","likelihood_vote","know1","know2","know3","know4","know5","know6","know7","know8","know9","know10","general_internet","election_internet","internet_skills","int_attch","int_post","int_blog","int_down","election_newspaper","election_tv","election_radio","female","highest_qual","tertiary_ed","country_birth","aust_born","age","income","rural_urban","interest_pol","age_cat","age_18_24","weight","know1_correct","know2_correct","know3_correct","know4_correct","know5_correct","know6_correct","know7_correct","know8_correct","know9_correct","know10_correct","income_quintiles"
"719",0,4,3,3,3,3,3,3,5,5,5,5,7,5,0,NA,NA,NA,NA,2,3,2,0,6,0,1,1,61,NA,2,1,5,0,0.775071484076463,0,0,0,0,0,0,0,0,0,0,NA
"720",4,5,1,2,2,3,3,2,5,2,4,5,1,5,2,1,NA,NA,1,3,1,2,1,3,1,1,1,59,8,3,2,5,0,0.894032175536875,1,0,1,0,0,1,0,1,0,0,2
"721",2,4,3,1,3,1,1,1,5,5,5,5,1,5,3,1,1,NA,1,1,2,3,1,1,0,1,1,34,17,2,2,2,0,1.6055916006624,0,1,0,1,0,0,0,0,0,0,4
"722",5,5,1,2,2,1,1,3,5,2,3,1,1,5,3,1,1,NA,1,2,3,NA,1,3,1,1,1,64,NA,2,2,5,0,0.726049617448173,1,0,1,1,0,0,0,1,1,0,NA
"723",2,5,1,1,1,2,1,1,4,5,NA,NA,2,4,2,1,NA,NA,1,2,NA,1,1,1,0,1,1,69,3,3,1,6,0,0.705039816996184,1,1,0,0,0,0,0,0,NA,NA,1
"724",7,5,1,1,2,3,2,2,2,2,3,1,2,2,2,1,NA,NA,1,2,1,4,0,5,0,6,0,64,12,4,1,5,0,0.765687974011235,1,1,1,0,1,1,0,1,1,0,3
"725",8,5,1,1,1,1,2,1,3,2,3,3,7,3,0,NA,NA,NA,NA,2,NA,2,1,4,0,1,1,88,5,4,1,6,0,0.713680083584822,1,1,0,1,1,0,1,1,1,1,2
"726",0,5,3,3,3,3,1,3,5,5,5,5,2,5,2,1,NA,NA,1,3,2,4,0,6,0,1,1,71,3,1,2,6,0,0.752643130937588,0,0,0,0,0,0,0,0,0,0,1
"727",8,4,1,1,2,1,1,2,5,2,3,3,1,5,3,1,1,NA,1,4,3,3,1,2,1,1,1,53,16,4,4,4,0,0.786884102819322,1,1,1,1,0,1,0,1,1,1,4
"728",1,5,1,3,3,2,1,3,1,4,5,5,1,1,4,1,1,1,1,4,3,1,1,1,0,1,1,22,13,3,2,1,1,1.74255671792639,1,0,0,0,0,0,0,0,0,0,4
"729",3,5,2,2,1,1,1,1,2,3,3,3,2,2,0,NA,NA,NA,NA,1,1,2,1,1,0,1,1,57,4,1,1,5,0,0.726049617448173,0,0,0,1,0,0,0,0,1,1,1
"730",4,5,1,1,3,2,1,3,1,2,3,5,1,1,3,1,1,NA,1,2,1,2,1,3,1,1,1,25,7,4,1,2,0,1.62526813399821,1,1,0,0,0,0,0,1,1,0,2
"731",10,5,1,1,2,1,2,2,3,2,3,3,2,3,4,1,1,1,1,4,1,4,1,1,0,NA,NA,21,1,2,2,1,1,1.74255671792639,1,1,1,1,1,1,1,1,1,1,1
"732",0,5,3,3,3,3,3,3,5,5,5,5,1,5,2,1,NA,NA,1,1,1,NA,1,7,0,1,1,63,2,2,2,5,0,0.726049617448173,0,0,0,0,0,0,0,0,0,0,1
"733",2,2,3,3,3,3,1,3,3,5,5,3,1,3,3,1,1,NA,1,4,2,4,1,5,0,3,0,62,3,1,2,5,0,0.726049617448173,0,0,0,0,0,0,1,0,0,1,1
"734",7,5,1,2,2,2,2,2,3,2,3,5,7,3,0,NA,NA,NA,NA,3,2,2,0,5,0,1,1,60,7,4,2,5,0,0.765687974011235,1,0,1,0,1,1,1,1,1,0,2
"735",1,4,3,3,1,3,3,1,5,5,3,5,1,5,3,1,1,NA,1,3,4,4,1,1,0,1,1,18,6,2,3,1,1,1.74255671792639,0,0,0,0,0,0,0,0,1,0,2
"736",6,4,1,3,2,3,2,2,3,1,5,3,7,3,0,NA,NA,NA,NA,1,1,2,0,1,0,1,1,69,2,2,2,6,0,0.743531152830054,1,0,1,0,1,1,1,0,0,1,1
"737",2,4,1,1,1,2,3,1,5,5,5,5,2,5,3,1,1,NA,1,2,1,2,1,1,0,1,1,19,15,NA,2,1,1,1.72146021413568,1,1,0,0,0,0,0,0,0,0,4
"738",6,5,1,1,2,1,1,1,2,2,3,5,1,2,3,1,1,NA,1,4,2,3,1,4,0,12,0,51,5,1,1,4,0,0.931102935157328,1,1,1,1,0,0,0,1,1,0,2
"739",3,5,1,3,1,3,1,1,5,2,3,5,1,5,3,1,1,NA,1,3,1,3,1,1,0,1,1,40,22,4,1,3,0,1.26239130236428,1,0,0,0,0,0,0,1,1,0,5
"740",0,2,3,3,3,3,3,3,5,5,5,5,7,5,0,NA,NA,NA,NA,3,2,4,1,1,0,1,1,49,11,5,2,4,0,0.931102935157328,0,0,0,0,0,0,0,0,0,0,3
